1520244469396,0,0
1532355281937,0,255
1532810285568,0,255
1532810293905,1,64
1532810308995,2,78
1532810322333,3,128
1532810333896,4,144
1532810347595,5,39
1532810358578,6,128
1532810369329,7,156
1532810379906,8,128
1532810390476,9,206
1532810401068,10,177
1532810412160,11,136
1532810423553,12,11
1532810434073,13,11
1532810446252,14,243
1532810456884,15,244
1532810470972,16,251
1532810485887,17,97
1532810496793,18,255
1532810508685,19,244
1532810519369,20,53
1532810533058,21,239
1532810543877,22,243
1532810554848,23,167
1532810566831,24,255
1532810577356,25,255
1532810588055,26,223
1532810598659,27,29
1532810613631,28,193
1532810624472,29,64
1532810640351,30,36
1532810651444,31,216
1532810663767,32,32
1532810675116,33,160
1532810766458,0,0
1532810782979,1,2
1532810803883,2,0
1532810814564,3,0
1532810828860,4,145
1532810849907,5,254
1532810860880,6,128
1532810871732,7,192
1532810885616,8,2
1532810900045,9,21
1532810914602,10,0
1532810927164,11,228
1532810940809,12,2
1532810951564,13,68
1532810962784,14,8
1532810988449,15,91
1532811001225,16,72
1532811011800,17,130
1532811029605,18,100
1532811040352,19,0
1532811051049,20,201
1532811070095,21,240
1532811085767,22,96
1532811098202,23,44
1532811109087,24,249
1532811127266,25,238
1532811138562,26,4
1532811149192,27,147
1532811163028,28,4
1532811175454,29,1
1532811186695,30,22
1532811197692,31,16
1532811209687,32,246
1532811220375,33,0
1532811231770,34,224
1532811244157,35,2
1532811256525,36,0
1532811269680,37,110
1532811280343,38,0
1532811291012,39,236
1532811309887,40,63
1532811330086,41,252
1532811340915,42,38
1532811351786,43,202
1532811370179,44,103
1532811384068,45,16
1532811400762,46,0
1532811411445,47,224
1532811424117,48,132
1532811434832,49,2
1532811447067,50,250
1532811457612,51,1
1532811470899,52,0
1532811482088,53,0
1532811493823,54,97
1532811505970,55,1
1532811516531,56,32
1532811540322,57,16
1532811553921,58,0
1532811564580,59,126
1532811575388,60,4
1532811599957,61,191
1532811614240,62,1
1532811625002,63,72
1532811638283,64,18
1532811650167,65,0
1532811662857,66,161
1532811675315,67,8
1532811686408,68,64
1532811697125,69,4
1532811708178,70,64
1532811719899,71,60
1532811730953,72,2
1532811744987,73,141
1532811755640,74,64
1532811766273,75,0
1532811778834,76,50
1532811796465,77,0
1532811807237,78,0
1532811817988,79,1
1532811833196,80,0
1532811843871,81,218
1532811854628,82,0
1532811865727,83,136
1532811877103,84,0
1532811887834,85,8
1532811903348,86,217
1532811915654,87,0
1532811926493,88,194
1532811942754,89,193
1532811953319,90,64
1532811964015,91,98
1532811976638,92,4
1532811989731,93,16
1532812003104,94,207
1532812014130,95,10
1532812025281,96,176
1532812037745,97,64
1532812048393,98,0
1532812061264,99,191
1532812073328,100,0
1532812084030,101,58
1532812104383,102,60
1532812117268,103,33
1532812130219,104,0
1532812145854,105,0
1532812157892,106,8
1532812168753,107,0
1532812179497,108,2
1532812203250,109,65
